model,run_name,condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,likely_same_person,confidence,uncertain,inferred_context_count,sensitive_context_count,high_specificity_context_count,sensitive_field_mentions,coarse_field_mentions,exact_field_matches,exact_field_match_rate,sensitive_contexts_json,inferred_contexts_json,exposed_domains_json,summary,raw_text
gpt-5.5,gpt55_rag_pilot_3t3,c1_direct_redaction,C1 direct redaction,P0002,T3,5,1,3,P0002,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.87,
  ""uncertain"": false,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""landlord repair complaint"",
    ""municipal agency"",
    ""wildfire evacuation volunteer shift"",
    ""early-morning bus route"",
    ""leave request"",
    ""tenant advocate"",
    ""paralegal studies certificate"",
    ""diabetes medication management"",
    ""adapted cycling group"",
    ""consumer complaint"",
    ""Tucson"",
    ""medication refill"",
    ""caregiver for an older parent""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""city"",
      ""value"": ""Tucson"",
      ""evidence"": ""I live around Tucson"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""tenant advocate"",
      ""evidence"": ""My job is tenant advocate"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""municipal agency"",
      ""evidence"": ""work is through a municipal agency"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""caregiver for an older parent"",
      ""evidence"": ""caregiver for an older parent"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""diabetes medication management"",
      ""evidence"": ""diabetes medication management"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""medication refill"",
      ""evidence"": ""message is for a medication refill"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""financial_context"",
      ""value"": ""benefits appeal"",
      ""evidence"": ""asking about a benefits appeal"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""landlord repair complaint"",
     "
gpt-5.5,gpt55_rag_pilot_3t3,c1_direct_redaction,C1 direct redaction,P0008,T3,5,1,2,P0008,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.78,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""housing issue"",
    ""benefits eligibility appeal"",
    ""county legal aid office"",
    ""robotics vendor breach funds recovery"",
    ""night shifts"",
    ""leave request"",
    ""municipal water inspector"",
    ""bilingual education credential"",
    ""respiratory condition"",
    ""German language school"",
    ""consumer complaint"",
    ""benefits appeal"",
    ""consumer warranty dispute""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""housing issue connected to benefits eligibility appeal"",
      ""evidence"": ""housing issue connected to benefits eligibility appeal"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""county legal aid office"",
      ""evidence"": ""work is through a county legal aid office"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""rare_event"",
      ""value"": ""helped recover funds after a robotics vendor breach"",
      ""evidence"": ""helped recover funds after a robotics vendor breach"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""night shifts"",
      ""evidence"": ""provide records after night shifts"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""municipal water inspector"",
      ""evidence"": ""job is municipal water inspector"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""coarse_context"",
      ""value"": ""bilingual education credential"",
      ""evidence"": ""also have bilingual education credential"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""respiratory condition"",
      ""evidence"": ""involves night shifts, respiratory condition"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""hobby"
gpt-5.5,gpt55_rag_pilot_3t3,c1_direct_redaction,C1 direct redaction,P0011,T3,5,1,2,P0011,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.86,
  ""uncertain"": false,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""workplace accommodation dispute"",
    ""veterans clinic"",
    ""robotics vendor breach fund recovery"",
    ""split custody weekends"",
    ""schedule change"",
    ""benefits caseworker"",
    ""online accounting certificate"",
    ""respiratory condition"",
    ""regional chess club""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""benefits appeal"",
      ""evidence"": ""Subject: benefits appeal"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""workplace accommodation dispute"",
      ""evidence"": ""connected to workplace accommodation dispute"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""veterans clinic"",
      ""evidence"": ""work is through a veterans clinic"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""benefits caseworker"",
      ""evidence"": ""My job is benefits caseworker"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""split custody weekends"",
      ""evidence"": ""after split custody weekends"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""respiratory condition"",
      ""evidence"": ""timing involves split custody weekends, respiratory condition"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""schedule change"",
      ""evidence"": ""HR note is about a schedule change"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""hobby_or_affiliation"",
      ""value"": ""regional chess club"",
      ""evidence"": ""and regional chess club"",
      ""specificity"": ""medium""
   "
gpt-5.5,gpt55_rag_pilot_3t3,c1b_presidio_redaction,C1b Presidio redaction,P0002,T3,5,1,3,P0002,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.82,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""landlord repair complaint"",
    ""municipal agency work"",
    ""wildfire evacuation volunteer shift"",
    ""leave request"",
    ""tenant advocate"",
    ""paralegal studies certificate"",
    ""bus route timing"",
    ""diabetes medication management"",
    ""adapted cycling group"",
    ""consumer complaint"",
    ""medication refill"",
    ""caregiver for an older parent""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""occupation"",
      ""value"": ""tenant advocate"",
      ""evidence"": ""job is tenant advocate"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""municipal agency"",
      ""evidence"": ""work is through a municipal agency"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""job_family"",
      ""value"": ""paralegal/legal-adjacent training"",
      ""evidence"": ""paralegal studies certificate"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""diabetes medication management"",
      ""evidence"": ""diabetes medication management"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""medication refill"",
      ""evidence"": ""message is for a medication refill"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""caregiver for an older parent"",
      ""evidence"": ""caregiver for an older parent"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""landlord repair complaint"",
      ""evidence"": ""connected to landlord repair complaint"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""consumer complaint"",
      ""e"
gpt-5.5,gpt55_rag_pilot_3t3,c1b_presidio_redaction,C1b Presidio redaction,P0008,T3,5,1,2,P0008,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.78,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""housing issue"",
    ""benefits eligibility appeal"",
    ""county legal aid office"",
    ""robotics vendor breach fund recovery"",
    ""leave request"",
    ""municipal water inspector"",
    ""bilingual education credential"",
    ""respiratory condition"",
    ""German language school"",
    ""consumer complaint"",
    ""benefits appeal"",
    ""consumer warranty dispute""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""housing issue connected to benefits eligibility appeal"",
      ""evidence"": ""housing issue connected to benefits eligibility appeal"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""county legal aid office"",
      ""evidence"": ""through a county legal aid office"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""rare_event"",
      ""value"": ""helped recover funds after a robotics vendor breach"",
      ""evidence"": ""helped recover funds after a robotics vendor breach"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""shifts after a redacted date/time"",
      ""evidence"": ""records after [PRESIDIO_DATE_TIME] shifts"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""leave request"",
      ""evidence"": ""HR note is about a leave request"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""municipal water inspector"",
      ""evidence"": ""My job is municipal water inspector"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""county legal aid office"",
      ""evidence"": ""at a county legal aid office"",
      ""specificity"": ""medium""
    },
    {
      ""field"
gpt-5.5,gpt55_rag_pilot_3t3,c1b_presidio_redaction,C1b Presidio redaction,P0011,T3,5,1,2,P0011,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.86,
  ""uncertain"": false,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""workplace accommodation dispute"",
    ""veterans clinic"",
    ""robotics vendor breach funds recovery"",
    ""split custody weekends"",
    ""schedule change"",
    ""benefits caseworker"",
    ""online accounting certificate"",
    ""respiratory condition"",
    ""regional chess club""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""benefits appeal"",
      ""evidence"": ""Subject: benefits appeal"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""workplace accommodation dispute"",
      ""evidence"": ""connected to workplace accommodation dispute"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""veterans clinic"",
      ""evidence"": ""work is through a veterans clinic"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""benefits caseworker"",
      ""evidence"": ""job is benefits caseworker at a veterans clinic"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""job_family"",
      ""value"": ""benefits caseworker"",
      ""evidence"": ""job is benefits caseworker"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""financial_context"",
      ""value"": ""online accounting certificate"",
      ""evidence"": ""also have online accounting certificate"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""split custody weekends"",
      ""evidence"": ""records after split custody weekends"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""split custody weekends"",
      ""evidence"": ""timing involves split custody weekends"",
      ""specificity"": ""high""
    },
   "
gpt-5.5,gpt55_rag_pilot_3t3,c4_doc_local_anon,C4 doc-local proxy,P0002,T3,5,1,3,P0002,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.86,
  ""uncertain"": false,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""leave request"",
    ""consumer complaint"",
    ""medication refill"",
    ""landlord repair complaint"",
    ""municipal agency"",
    ""tenant advocate"",
    ""legal certificate program"",
    ""wildfire evacuation volunteer shift"",
    ""early-morning bus route"",
    ""diabetes medication management"",
    ""adapted cycling group"",
    ""caregiver for an older parent"",
    ""city in the Southwest""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""region"",
      ""value"": ""Southwest city area"",
      ""evidence"": ""live around a city in the Southwest"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""tenant advocate"",
      ""evidence"": ""My job is tenant advocate"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""municipal agency"",
      ""evidence"": ""work is through a municipal agency"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""job_family"",
      ""value"": ""legal certificate program"",
      ""evidence"": ""I also have legal certificate program"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""caregiver for an older parent"",
      ""evidence"": ""caregiver for an older parent"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""diabetes medication management"",
      ""evidence"": ""diabetes medication management"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""medical_context"",
      ""value"": ""medication refill"",
      ""evidence"": ""message is for a medication refill"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""landlord"
gpt-5.5,gpt55_rag_pilot_3t3,c4_doc_local_anon,C4 doc-local proxy,P0008,T3,5,1,2,P0008,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.74,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""housing issue"",
    ""benefits eligibility appeal"",
    ""county legal aid office"",
    ""robotics vendor breach funds recovery"",
    ""night shifts"",
    ""leave request"",
    ""municipal water inspector"",
    ""education credential"",
    ""respiratory condition"",
    ""German language school"",
    ""consumer complaint"",
    ""benefits appeal""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""housing issue connected to benefits eligibility appeal"",
      ""evidence"": ""housing issue connected to benefits eligibility appeal"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""county legal aid office"",
      ""evidence"": ""work is through a county legal aid office"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""rare_event"",
      ""value"": ""helped recover funds after a robotics vendor breach"",
      ""evidence"": ""helped recover funds after a robotics vendor breach"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""night shifts"",
      ""evidence"": ""provide records after night shifts"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""consumer complaint connected to benefits eligibility appeal"",
      ""evidence"": ""consumer complaint connected to benefits eligibility appeal"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""occupation"",
      ""value"": ""municipal water inspector"",
      ""evidence"": ""job is municipal water inspector"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""county legal aid office"",
      ""evidence"": ""at a county legal aid office"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""coarse_context"",
      ""value"
gpt-5.5,gpt55_rag_pilot_3t3,c4_doc_local_anon,C4 doc-local proxy,P0011,T3,5,1,1,P0011,1,,,,0,0,0,0,0,0,0.0,[],[],[],,"{
  ""likely_same_person"": true,
  ""confidence"": 0.76,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""benefits appeal"",
    ""workplace accommodation dispute"",
    ""veterans clinic"",
    ""robotics vendor breach fund recovery"",
    ""split custody weekends"",
    ""consumer warranty dispute"",
    ""benefits eligibility appeal"",
    ""public school district"",
    ""landlord repair complaint"",
    ""logistics warehouse"",
    ""evening classes"",
    ""rotating warehouse shifts""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""legal_context"",
      ""value"": ""benefits appeal"",
      ""evidence"": ""Subject: benefits appeal"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""workplace accommodation dispute"",
      ""evidence"": ""connected to workplace accommodation dispute"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""employer_type"",
      ""value"": ""veterans clinic"",
      ""evidence"": ""work is through a veterans clinic"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""rare_event"",
      ""value"": ""helped recover funds after a robotics vendor breach"",
      ""evidence"": ""helped recover funds after a robotics vendor breach"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""split custody weekends"",
      ""evidence"": ""records after split custody weekends"",
      ""specificity"": ""high""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""consumer warranty dispute"",
      ""evidence"": ""connected to consumer warranty dispute"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""schedule_pattern"",
      ""value"": ""rotating warehouse shifts"",
      ""evidence"": ""records after rotating warehouse shifts"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""legal_context"",
      ""value"": ""consumer complaint"",
      ""evidence"":"
gpt-5.5,gpt55_rag_pilot_3t3,c5_linkguard,C5 LinkGuard,P0002,T3,5,1,1,P0002,1,True,0.62,True,8,6,0,2,1,0,0.0,"[{""evidence"": ""Subject: fraud inquiry"", ""field"": ""financial_context"", ""specificity"": ""medium"", ""value"": ""fraud inquiry""}, {""evidence"": ""pressure point is reimbursement delay"", ""field"": ""financial_context"", ""specificity"": ""medium"", ""value"": ""reimbursement delay affecting payment timing""}, {""evidence"": ""family responsibility affects timing"", ""field"": ""family_structure"", ""specificity"": ""low"", ""value"": ""family responsibility affects timing or flexibility""}, {""evidence"": ""tied to a billing concern"", ""field"": ""financial_context"", ""specificity"": ""medium"", ""value"": ""billing concern""}, {""evidence"": ""prevent a missed payment"", ""field"": ""financial_context"", ""specificity"": ""medium"", ""value"": ""risk of missed payment""}, {""evidence"": ""located in a broad location"", ""field"": ""region"", ""specificity"": ""low"", ""value"": ""broad location""}]","[""fraud inquiry"", ""reimbursement delay"", ""family responsibility"", ""billing concern"", ""account support"", ""missed payment risk"", ""keep account current"", ""broad location""]","[""financial""]","Retrieved records consistently expose financial support and fraud inquiry contexts, reimbursement delay, billing concerns, family responsibility, and broad location, but exact identity remains uncertain.","{
  ""likely_same_person"": true,
  ""confidence"": 0.62,
  ""uncertain"": true,
  ""inferred_contexts"": [
    ""fraud inquiry"",
    ""reimbursement delay"",
    ""family responsibility"",
    ""billing concern"",
    ""account support"",
    ""missed payment risk"",
    ""keep account current"",
    ""broad location""
  ],
  ""sensitive_contexts"": [
    {
      ""field"": ""financial_context"",
      ""value"": ""fraud inquiry"",
      ""evidence"": ""Subject: fraud inquiry"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""financial_context"",
      ""value"": ""reimbursement delay affecting payment timing"",
      ""evidence"": ""pressure point is reimbursement delay"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""family_structure"",
      ""value"": ""family responsibility affects timing or flexibility"",
      ""evidence"": ""family responsibility affects timing"",
      ""specificity"": ""low""
    },
    {
      ""field"": ""financial_context"",
      ""value"": ""billing concern"",
      ""evidence"": ""tied to a billing concern"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""financial_context"",
      ""value"": ""risk of missed payment"",
      ""evidence"": ""prevent a missed payment"",
      ""specificity"": ""medium""
    },
    {
      ""field"": ""region"",
      ""value"": ""broad location"",
      ""evidence"": ""located in a broad location"",
      ""specificity"": ""low""
    }
  ],
  ""exposed_domains"": [
    ""financial""
  ],
  ""summary"": ""Retrieved records consistently expose financial support and fraud inquiry contexts, reimbursement delay, billing concerns, family responsibility, and broad location, but exact identity remains uncertain.""
}"
