task,cache_key,cached,input_tokens,output_tokens,total_tokens
rag_generation::c1_direct_redaction,5ede87f9b9a5aa9c600f877749aff01c50fa9515b3a60327c51d2d4b987bcf5e,False,791,450,1241
rag_generation::c1_direct_redaction,6a4100fc39a7c54ddeb1683217bb1593078af56dc1688e428d141a25f6070b53,False,792,450,1242
rag_generation::c1_direct_redaction,b9c412085161c78d2ff76c0f9020a9c71e7da5750aaaf3fbcf56baad3d086097,False,790,450,1240
rag_generation::c1b_presidio_redaction,c2090296bb20b0c3f63408be3772a279f36e16e7118da563d63b7d04608126f9,False,942,450,1392
rag_generation::c1b_presidio_redaction,a67ec76a1530d9b87b7687269ec5e24b7e532ff9f81a7108826a5020ed865109,False,945,450,1395
rag_generation::c1b_presidio_redaction,6fd8d2034cba095b40878637801ad6c653c488c2f0ee66cd7491fe26c7743fc4,False,910,450,1360
rag_generation::c4_doc_local_anon,4c1ff4c0e495088498269338d806974219f902458ac312f51fe19a3af922d9eb,False,793,450,1243
rag_generation::c4_doc_local_anon,560132489fdb670e79651520cb09367d207c021541241863499327d3a076baf9,False,791,450,1241
rag_generation::c4_doc_local_anon,80cd405d5d080c4518d3685dfbad85db95d2bb2c4d39307e15d268af5776e160,False,791,450,1241
rag_generation::c5_linkguard,9ba838c86c00ead275ff13d33a0eb44c29c6e8de5b5a0a331be686951d47de60,False,759,393,1152
rag_generation::c5_linkguard,a494c7f18e74d3d0f9e131576fb0e742998be3e06a0330ebb4ce5b6408ee0882,False,760,450,1210
rag_generation::c5_linkguard,432595ac5e413e5958128f2708ed93fba2f21ee43fd3533c3745f0fc23eaca09,False,755,341,1096
rag_generation::c6_aggressive_redaction,4ee73075469052fcb9bc81f536e4bfdca3d6ead86cb129e32a0965039c60be63,False,853,408,1261
rag_generation::c6_aggressive_redaction,df02e5fbbf37b24a832eca1dba7ac0d0509525500f443f06edbae401ad0e1e33,False,852,267,1119
rag_generation::c6_aggressive_redaction,95a49b506f36f0b59e89d0e668d32b8e294aed4b729731aed8be614462038133,False,790,374,1164
